ID	SEV	FACILIDADE	STATUS	INFORMAÇÃO	ESTACAO ENTREGA	%DISPONIBILIDADE
6	8221956	FO EDD DIRETO CLARO	Inviável			
6	8221956	FO EDD CLARO PRE VIAVEL	Inviável			
6	8221956	FO EDD ETH	Inviável			
6	8221956	FOetherNET	Inviável			
6	8221956	FO SDH	Inviável			
6	8221956	ADE SDH	Inviável			
6	8221956	SATELITE BANDA KA	Inviável			
6	8221956	SATELITE BANDA KU	Inviável			
6	8221956	TERCEIROS ETH	Viável	NUVEM: NUVEM PARA BLC - PROPRIETÁRIO NUVEM: MOBWIRE / IG NETWORKS	SPO IG	

ID	SEV	FACILIDADE	STATUS	INFORMAÇÃO	ESTACAO ENTREGA	%DISPONIBILIDADE
7	8994186	ABORDADO	NÃO
7	8994186	PRÓXIMO	NÃO
7	8994186	SEV ENDEREÇO	NÃO
7	8994186	SEV PRÓXIMA	NÃO
7	8994186	4G	Inviável			
7	8994186	FO GPON_RESID ETH	Inviável			
7	8994186	FO XGSPON RESID ETH	Inviável			
7	8994186	HFC BSoD	Inviável	ESTAÇÃO ENTRONCAMENTO:FNS PO		
7	8994186	FO GPON_RESID ETH PRE VIAVEL	Inviável			
7	8994186	FO GPON ETH	Inviável			
7	8994186	FO EDD DIRETO CLARO	Inviável			
7	8994186	FO EDD CLARO PRE VIAVEL	Inviável			
7	8994186	FO EDD ETH	Inviável			
7	8994186	FOetherNET	Inviável			
7	8994186	FO SDH	Inviável			
7	8994186	ADE SDH	Inviável			
7	8994186	SATELITE BANDA KA	Inviável			
7	8994186	SATELITE BANDA KU	Inviável			
7	8994186	TERCEIROS ETH	Viável	NUVEM: NUVEM PARA BLC - PROPRIETÁRIO NUVEM: MOBWIRE / IG NETWORKS	SPO IG / FNS PO	

ID	SEV	FACILIDADE	STATUS	INFORMAÇÃO	ESTACAO ENTREGA	%DISPONIBILIDADE
8	8994188	ABORDADO	NÃO
8	8994188	PRÓXIMO	NÃO
8	8994188	SEV ENDEREÇO	NÃO
8	8994188	SEV PRÓXIMA	NÃO
8	8994188	4G	Inviável			
8	8994188	FO GPON_RESID ETH	Inviável			
8	8994188	FO XGSPON RESID ETH	Inviável			
8	8994188	HFC BSoD	Inviável			
8	8994188	FO GPON_RESID ETH PRE VIAVEL	Inviável			
8	8994188	FO GPON ETH	Inviável			
8	8994188	FO EDD DIRETO CLARO	Inviável			
8	8994188	FO EDD CLARO PRE VIAVEL	Inviável			
8	8994188	FO EDD ETH	Inviável			
8	8994188	FOetherNET	Inviável			
8	8994188	FO SDH	Inviável			
8	8994188	ADE SDH	Inviável			
8	8994188	SATELITE BANDA KA	Inviável			
8	8994188	SATELITE BANDA KU	Inviável			
8	8994188	TERCEIROS ETH	Viável	NUVEM: NUVEM PARA BLC - PROPRIETÁRIO NUVEM: MOBWIRE	SPO IG	

ID	SEV	FACILIDADE	STATUS	INFORMAÇÃO	ESTACAO ENTREGA	%DISPONIBILIDADE
9	8994190	ABORDADO	NÃO
9	8994190	PRÓXIMO	NÃO
9	8994190	SEV ENDEREÇO	NÃO
9	8994190	SEV PRÓXIMA	NÃO
9	8994190	4G	Inviável			
9	8994190	FO GPON_RESID ETH	Inviável			
9	8994190	FO XGSPON RESID ETH	Inviável			
9	8994190	HFC BSoD	Inviável			
9	8994190	FO GPON_RESID ETH PRE VIAVEL	Inviável			
9	8994190	FO GPON ETH	Inviável			
9	8994190	FO EDD DIRETO CLARO	Inviável			
9	8994190	FO EDD CLARO PRE VIAVEL	Inviável			
9	8994190	FO EDD ETH	Inviável			
9	8994190	FOetherNET	Inviável			
9	8994190	FO SDH	Inviável			
9	8994190	ADE SDH	Inviável			
9	8994190	SATELITE BANDA KA	Inviável			
9	8994190	SATELITE BANDA KU	Inviável			
9	8994190	TERCEIROS ETH	Viável	NUVEM: NUVEM PARA BLC - PROPRIETÁRIO NUVEM: MOBWIRE	SPO IG	

ID	SEV	FACILIDADE	STATUS	INFORMAÇÃO	ESTACAO ENTREGA	%DISPONIBILIDADE
10	8994195	ABORDADO	NÃO
10	8994195	PRÓXIMO	NÃO
10	8994195	SEV ENDEREÇO	NÃO
10	8994195	SEV PRÓXIMA	NÃO
10	8994195	4G	Inviável			
10	8994195	FO GPON_RESID ETH	Inviável			
10	8994195	FO XGSPON RESID ETH	Inviável			
10	8994195	HFC BSoD	Inviável			
10	8994195	FO GPON_RESID ETH PRE VIAVEL	Inviável			
10	8994195	FO GPON ETH	Inviável			
10	8994195	FO EDD DIRETO CLARO	Inviável			
10	8994195	FO EDD CLARO PRE VIAVEL	Inviável			
10	8994195	FO EDD ETH	Inviável			
10	8994195	FOetherNET	Inviável			
10	8994195	FO SDH	Inviável			
10	8994195	ADE SDH	Inviável			
10	8994195	SATELITE BANDA KA	Inviável			
10	8994195	SATELITE BANDA KU	Inviável			
10	8994195	TERCEIROS ETH	Viável	NUVEM: NUVEM PARA BLC - PROPRIETÁRIO NUVEM: MOBWIRE / IG NETWORKS	SPO IG / SDR RC	

ID	SEV	FACILIDADE	STATUS	INFORMAÇÃO	ESTACAO ENTREGA	%DISPONIBILIDADE
11	8994199	ABORDADO	NÃO
11	8994199	PRÓXIMO	NÃO
11	8994199	SEV ENDEREÇO	NÃO
11	8994199	SEV PRÓXIMA	NÃO
11	8994199	4G	Inviável			
11	8994199	FO GPON_RESID ETH	Inviável			
11	8994199	FO XGSPON RESID ETH	Inviável			
11	8994199	HFC BSoD	Inviável			
11	8994199	FO GPON_RESID ETH PRE VIAVEL	Inviável			
11	8994199	FO GPON ETH	Inviável			
11	8994199	FO EDD DIRETO CLARO	Inviável			
11	8994199	FO EDD CLARO PRE VIAVEL	Inviável			
11	8994199	FO EDD ETH	Inviável			
11	8994199	FOetherNET	Inviável			
11	8994199	FO SDH	Inviável			
11	8994199	ADE SDH	Inviável			
11	8994199	SATELITE BANDA KA	Inviável			
11	8994199	SATELITE BANDA KU	Inviável			
11	8994199	TERCEIROS ETH	Viável	NUVEM: NUVEM PARA BLC - PROPRIETÁRIO NUVEM: MOBWIRE / IG NETWORKS	SPO IG / RJO AM	

ID	SEV	FACILIDADE	STATUS	INFORMAÇÃO	ESTACAO ENTREGA	%DISPONIBILIDADE
12	8994200	ABORDADO	NÃO
12	8994200	PRÓXIMO	NÃO
12	8994200	SEV ENDEREÇO	NÃO
12	8994200	SEV PRÓXIMA	NÃO
12	8994200	4G	Inviável			
12	8994200	FO GPON_RESID ETH	Inviável			
12	8994200	FO XGSPON RESID ETH	Inviável			
12	8994200	HFC BSoD	Inviável			
12	8994200	FO GPON_RESID ETH PRE VIAVEL	Inviável			
12	8994200	FO GPON ETH	Inviável			
12	8994200	FO EDD DIRETO CLARO	Inviável			
12	8994200	FO EDD CLARO PRE VIAVEL	Inviável			
12	8994200	FO EDD ETH	Inviável			
12	8994200	FOetherNET	Inviável			
12	8994200	FO SDH	Inviável			
12	8994200	ADE SDH	Inviável			
12	8994200	SATELITE BANDA KA	Inviável			
12	8994200	SATELITE BANDA KU	Inviável			
12	8994200	TERCEIROS ETH	Viável	NUVEM: NUVEM PARA BLC - PROPRIETÁRIO NUVEM: MOBWIRE / BRFIBRA	SPO IG / BHE ES	

