sequencial;latitude;longitude;uf;cnl;facilidade;id_facilidade;provedor;id_provedor;entrega;abordado;custo_de_acesso_proprio;instalacao_terceiros;mensalidade_terceiros;tipo_terceiros;id_da_sev;prazo;bb_ip;hp_bsod;codigo_spe;sinalizacao_sip;protocolo_gaia;obs;justificativa;ID Justificativa;status;tecnologia
8703243;-21,9126666;-50,7361666;SP;BAS;TERCEIROS ETH;26;IG NETWORKS;146;SPO IG;NAO;;1485;1408;3;1630542;;;;;;11835165;FECHAMENTO NFV FASE 2//ESTACAO ENTREGA SPO IG/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703244;-30,0283055;-51,2298055;RS;PAE;TERCEIROS ETH;26;BRFIBRA;127;PAE BV;NAO;;800;444,4;3;1630543;;;;;;11835166;FECHAMENTO NFV FASE 2/ANEL_PAEMF PAE MF/ESTACAO ENTREGA PAE BV/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703245;-18,9055277;-48,30025;MG;ULA;TERCEIROS ETH;26;IG NETWORKS;146;BHE ES;NAO;;1485;1822;3;1630544;;110850;;;;11835167;FECHAMENTO NFV FASE 2/ULAMA_NUVEMGPON ULA MA/ESTACAO ENTREGA BHE ES/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703246;-8,11994444;-34,9014166;PE;RCE;TERCEIROS ETH;26;BRFIBRA;127;RCE AM;NAO;;1000;770;3;1630545;;110851;;;;11835168;FECHAMENTO NFV FASE 2/GPON_RCE BV_01 RCE BV/ESTACAO ENTREGA RCE AM/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703247;-25,3010555;-54,0767222;PR;MDN;TERCEIROS ETH;26;VTAL - PR;459;CTA MR;NAO;;11048,84306;459,3630814;3;1630546;;;;;;11835169;FECHAMENTO NFV FASE 2//ESTACAO ENTREGA CTA MR/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703248;-20,5392777;-54,5944722;MS;CPE;TERCEIROS ETH;26;VTAL - MS;453;CPE CM;NAO;;9225,915002;362,5354238;3;1630547;;;;;;11835170;FECHAMENTO NFV FASE 2//ESTACAO ENTREGA CPE CM/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703249;-29,8547222;-51,2595833;RS;NVSR;TERCEIROS ETH;26;VTAL - RS;464;PAE BV;NAO;;10404,47867;724,7826885;3;1630548;;110852;;;;11835171;FECHAMENTO NFV FASE 2/NUVEM RSNST03 - NUVEM DIRETO CLARO SITE RSNST03/ESTACAO ENTREGA PAE BV/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703250;-27,5900262;-52,1011666;RS;GAU;TERCEIROS ETH;26;VTAL - RS;464;CTA MR;NAO;;10404,47867;421,7619082;3;1630549;;;;;;11835172;FECHAMENTO NFV FASE 2//ESTACAO ENTREGA CTA MR/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703251;-23,6287777;-46,7320833;SP;SPO;TERCEIROS ETH;26;BRFIBRA;127;SPO IG;NAO;;800;444,4;3;1630550;;;;;;11835173;FECHAMENTO NFV FASE 2/VANED HUB_VILA SONIA/ESTACAO ENTREGA SPO IG/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703252;-22,7953611;-43,2798611;RJ;DQX;TERCEIROS ETH;26;VTAL - RJ;460;RJO AM;NAO;;9913,716982;871,6128341;3;1630551;;110854;;;;11835174;FECHAMENTO NFV FASE 2/DQX TRC DQX TRC/ESTACAO ENTREGA RJO AM/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
